ID,District_Name,District_Hospital_Name,CHCs,Month,Patient_Registration_%,Appointment_Utilization_%,OPD_Growth_%,Bed_Occupancy_%,Pharmacy_Fulfillment_%,Lab_TAT_Hours,Radiology_Utilization_%,OPD_Billing_Accuracy_%,IPD_Discharge_Summary_%,OT_Utilization_%,Surgery_Success_%,Emergency_Response_Min,Staff_Attendance_%,Claim_Settlement_%,Patient_Satisfaction_%,Ambulance_Response_Min,Consultancy Type,% Patient having ABHA ID,HFR_Registred,Time for Initial Assessment of Indoor Patients (min),% of Unplanned Return to OT,Mortality Ratio for ICU (%),Return to ICU within 48 hrs (%),TAT for the Issue of Blood (min),Ambulance Utilization Rate (%),Ambulance Medication/Equipment Availability (%)
HR25F0718,Sonipat,Sonipat-DH,Kharkhauda,01-06-2025,83,82.8,6,37.6,95,3.8,90,90,72,33.9,97,19,96,81,63.8,14,New,90,Yes,47,2,1,1,36,39.8,70
HR25F0719,Sonipat,Sonipat-DH,Badkhalsa,01-06-2025,44,41.2,7,73.3,83,5.7,72,94,93,80.7,87,27,83,72,58.3,10,Online,90,Yes,33,1,0,0,78,36.3,76.3
HR25F0720,Sonipat,Sonipat-DH,Ganaur,01-06-2025,50,57.1,3,73.3,92,9.0,89,94,71,92.4,88,17,79,85,85.8,20,New,48.7,Yes,52,0,0,1,10,63.5,53.8
HR25F0721,Sonipat,Sonipat-DH,Juan,01-06-2025,92,85.2,4,36.4,87,5.5,43,84,86,80.7,97,21,76,83,45.5,19.5,New,39.3,No,48,1,3,4,30,18.5,90
HR25F0722,Sonipat,Sonipat-DH,Mundlana,01-06-2025,47,54.7,3,66.9,79,5.5,74,80,91,69,94,21,95,95,41.8,11,New,83.3,Yes,34,3,1,0,65,42.2,81.3
HR25F0723,Sonipat,Sonipat-DH,Firozepur‑bangar,01-06-2025,41,93.8,14,68.2,76,3.8,65,87,90,44.3,88,30,76,79,56.5,13.5,Follow-up,63.3,No,20,5,2,3,86,77.6,75
HR25F0724,Sonipat,Sonipat-DH,Purkhas,01-06-2025,63.5,74.2,11,66.9,79,7.1,64,89,94,91.1,97,19,87,60,91.3,13.5,Follow-up,32.7,No,28,2,1,3,49,78.8,88.8
HR25F0725,Sonipat,Sonipat-DH,Bhainswal‑kalan,01-06-2025,50,55.9,1,50.4,86,7.1,34,99,88,93.7,100,5,96,80,43.7,17.5,New,59.3,Yes,17,1,2,2,57,77.6,58.8
HR25F0726,Yamunanagar,Yamunanagar-DH,Naharpur,01-06-2025,54.5,90.1,10,63.1,94,6.9,58,85,83,65.1,98,17,95,86,40,17.5,New,71.3,No,18,1,0,2,53,36.3,60
HR25F0727,Yamunanagar,Yamunanagar-DH,Saraswatinagar,01-06-2025,35,57.1,14,88.5,99,4.9,60,81,71,76.8,90,24,87,60,62,14,Online,76.7,No,27,2,3,2,71,67,67.5
HR25F0728,Yamunanagar,Yamunanagar-DH,Sadhaura,01-06-2025,44,69.3,4,68.2,89,4.8,76,92,92,30,88,13,96,82,74.8,14.5,Telemedicine,31.3,No,56,3,3,0,16,76.5,80
HR25F0729,Yamunanagar,Yamunanagar-DH,Chhachhrauli,01-06-2025,50,71.8,2,46.5,85,4.0,34,94,80,56,93,16,93,68,52.8,17.5,New,68.7,No,10,0,1,4,59,56.4,48.8
HR25F0730,Yamunanagar,Yamunanagar-DH,Bilaspur,01-06-2025,35,79.1,7,60.5,84,5.9,75,91,93,91.1,95,28,85,61,58.3,13,New,78,No,21,0,0,0,82,41,80
HR25F0731,Yamunanagar,Yamunanagar-DH,Khizrabad,01-06-2025,83,82.8,12,58,70,4.3,74,100,90,79.4,99,15,82,75,49.2,10.5,Follow-up,59.3,Yes,32,5,2,0,20,61.1,90
HR25F0732,Yamunanagar,Yamunanagar-DH,Akbarpur,01-06-2025,68,62,0,51.6,100,4.1,50,93,70,82,91,21,82,76,78.5,11.5,Online,43.3,No,20,0,1,4,84,36.3,67.5
HR25F0733,Ambala,Ambala-DH,Mullana,01-07-2025,74,62,4,37.6,91,5.2,57,87,99,82,98,26,91,76,89.5,12,Online,55.3,No,29,1,1,3,74,55.2,45
HR25F0734,Ambala,Ambala-DH,Chaurmastpur,01-07-2025,42.5,71.8,12,64.4,88,5.1,73,93,80,63.8,97,5,79,84,89.5,20,Online,48.7,No,49,2,0,4,81,25.6,78.8
HR25F0735,Ambala,Ambala-DH,Shahzadpur,01-07-2025,53,70.6,10,69.5,93,5.0,63,88,98,67.7,88,25,95,95,65.7,17.5,Online,63.3,No,49,0,2,0,71,32.7,67.5
HR25F0736,Ambala,Ambala-DH,Brara,01-07-2025,53,73,3,70.7,87,6.4,51,83,80,43,98,7,91,89,41.8,11.5,New,39.3,No,15,1,2,0,21,18.5,90
HR25F0737,Ambala,Ambala-DH,Ambli,01-07-2025,59,40,14,31.3,79,5.9,61,82,94,92.4,96,21,84,85,76.7,12.5,New,31.3,Yes,13,1,1,4,19,75.3,82.5
HR25F0738,Bhiwani,Bhiwani-DH,Kairu,01-07-2025,74,74.2,7,80.9,70,5.4,89,93,73,89.8,92,17,95,72,82.2,11.5,Follow-up,74,No,38,1,3,3,14,76.5,50
HR25F0739,Bhiwani,Bhiwani-DH,Manheru,01-07-2025,65,69.3,10,55.5,79,6.1,75,98,96,57.3,96,8,76,71,41.8,15.5,Online,63.3,Yes,30,0,1,0,76,77.6,73.8
HR25F0740,Bhiwani,Bhiwani-DH,Jamalpur,01-07-2025,68,81.6,3,54.2,86,4.4,88,97,86,59.9,85,24,81,94,78.5,14,Follow-up,88.7,Yes,19,5,3,3,25,77.6,48.8
HR25F0741,Bhiwani,Bhiwani-DH,Dhanana,01-07-2025,75.5,81.6,2,40.2,84,5.9,70,82,88,78.1,92,17,79,63,41.8,19,Telemedicine,90,No,16,2,2,2,11,55.2,90
HR25F0742,Bhiwani,Bhiwani-DH,Miran,01-07-2025,78.5,74.2,2,33.8,100,6.0,38,90,86,37.8,95,21,86,85,71.2,11.5,Online,43.3,Yes,57,3,0,2,59,26.8,67.5
HR25F0743,Charkhi Dadri,Charkhi Dadri-DH,Gopi,01-07-2025,42.5,84,0,83.5,73,3.7,57,100,96,66.4,96,12,96,91,67.5,16.5,Online,87.3,Yes,47,1,3,0,10,52.8,56.3
HR25F0744,Charkhi Dadri,Charkhi Dadri-DH,Bondkalan,01-07-2025,92,57.1,15,30,96,7.2,88,89,78,49.5,94,6,94,77,91.3,16,New,36.7,Yes,13,3,2,2,77,77.6,43.8
HR25F0745,Charkhi Dadri,Charkhi Dadri-DH,Jhojukalan,01-07-2025,80,85.2,5,83.5,88,4.5,52,86,83,93.7,96,14,94,88,65.7,11.5,New,62,Yes,47,5,3,1,63,55.2,75
HR25F0746,Faridabad,ESIC Medical College,Kurali,01-07-2025,93.5,79.1,2,79.6,83,5.9,64,99,90,79.4,100,10,95,60,65.7,12,Online,30,Yes,26,4,1,3,40,20.9,47.5
HR25F0747,Faridabad,ESIC Medical College,Pali,01-07-2025,57.5,47.3,15,68.2,89,7.4,32,81,86,57.3,93,7,88,88,84,10.5,New,38,No,27,1,0,2,27,43.4,42.5
HR25F0748,Faridabad,ESIC Medical College,Tigaon Kheri,01-07-2025,59,69.3,5,74.5,84,7.1,71,91,83,70.3,97,18,87,67,78.5,16,New,87.3,No,58,2,1,2,66,36.3,67.5
HR25F0749,Faridabad,ESIC Medical College,Kalan,01-07-2025,83,64.4,1,97.5,73,5.9,52,100,85,53.4,94,16,82,80,87.7,16,Telemedicine,50,No,34,5,0,4,59,31.5,85
HR25F0750,Fatehabad,Fatehabad-DH,Bhattukalan,01-07-2025,80,76.7,13,30,88,5.3,70,83,97,39.1,89,7,90,70,78.5,19,Online,46,Yes,26,5,2,3,84,22.1,63.8
HR25F0751,Fatehabad,Fatehabad-DH,Bhuna,01-07-2025,36.5,52.2,7,65.6,89,7.1,76,98,92,56,97,29,99,94,91.3,20,New,74,Yes,38,0,2,0,73,37.5,58.8
HR25F0752,Fatehabad,Fatehabad-DH,Jakhal,01-07-2025,84.5,64.4,2,100,92,6.7,90,94,99,45.6,93,23,86,93,78.5,13.5,Online,50,Yes,60,1,1,1,69,67,87.5
HR25F0753,Fatehabad,Fatehabad-DH,Badopal,01-07-2025,71,63.2,12,88.5,85,5.0,42,95,100,78.1,85,19,81,71,58.3,19,New,90,No,31,1,3,3,89,15,87.5
HR25F0754,Fatehabad,Fatehabad-DH,Bothankalan,01-07-2025,89,64.4,11,91.1,84,4.7,90,83,78,84.6,96,5,85,68,87.7,20,New,68.7,Yes,11,3,2,4,10,61.1,72.5
HR25F0755,Gurgaon,Gurgaon-DH,Farukhnagar,01-07-2025,44,76.7,3,52.9,70,3.0,68,84,97,85.9,97,14,91,85,51,16.5,Follow-up,63.3,No,15,3,0,3,23,35.1,85
HR25F0756,Gurgaon,Gurgaon-DH,Bhora,01-07-2025,75.5,76.7,5,47.8,100,6.0,85,81,92,46.9,92,30,99,86,69.3,12,Online,30,No,51,3,0,2,90,43.4,65
HR25F0757,Gurgaon,Gurgaon-DH,Kalan,01-07-2025,69.5,84,5,35.1,73,5.7,62,82,100,89.8,98,16,91,95,76.7,14,New,80.7,Yes,12,4,1,3,43,23.3,78.8
HR25F0758,Gurgaon,Gurgaon-DH,Ghangola,01-07-2025,44,69.3,7,64.4,96,7.4,46,94,82,93.7,90,24,95,69,51,13.5,New,60.7,Yes,14,1,3,2,59,75.3,55
HR25F0759,Hisar,Maharaja Agrasen Medical College,Siswal,01-07-2025,87.5,86.4,3,51.6,97,6.3,43,92,97,84.6,91,22,85,81,62,10.5,New,39.3,No,17,1,2,3,84,52.8,63.8
HR25F0760,Hisar,Maharaja Agrasen Medical College,Mangali,01-07-2025,51.5,87.7,11,80.9,90,7.7,71,96,85,48.2,86,30,81,73,63.8,19,Telemedicine,82,Yes,40,0,0,0,15,55.2,83.8
HR25F0761,Hisar,Maharaja Agrasen Medical College,Aryanagar,01-07-2025,57.5,73,5,72,76,4.8,72,96,76,57.3,95,23,81,83,80.3,11.5,Follow-up,80.7,Yes,20,4,1,0,63,19.7,41.3
HR25F0762,Hisar,Maharaja Agrasen Medical College,Uklana,01-07-2025,80,68.1,11,50.4,83,7.4,82,82,81,93.7,98,26,96,90,73,18.5,Follow-up,60.7,Yes,10,5,1,4,76,28,58.8
HR25F0763,Hisar,Maharaja Agrasen Medical College,Mirchpur,01-07-2025,89,80.3,12,87.3,75,5.0,65,85,82,84.6,92,20,94,84,56.5,13.5,New,79.3,No,34,5,2,2,72,55.2,68.8
HR25F0764,Hisar,Maharaja Agrasen Medical College,SisaiBola,01-07-2025,90.5,88.9,8,84.7,80,6.9,40,89,77,80.7,97,21,89,95,54.7,17.5,Follow-up,79.3,No,27,5,0,2,33,69.4,48.8
HR25F0765,Hisar,Maharaja Agrasen Medical College,Khanda,01-07-2025,44,86.4,10,30,100,3.8,69,82,88,50.8,93,20,78,78,56.5,10.5,Follow-up,48.7,No,29,1,2,2,23,54,62.5
HR25F0766,Hisar,Maharaja Agrasen Medical College,Kheri,01-07-2025,69.5,93.8,4,97.5,76,6.2,74,92,92,30,92,28,95,60,62,12,Online,32.7,No,15,2,3,3,48,23.3,81.3
HR25F0767,Hisar,Maharaja Agrasen Medical College,Sorkhi,01-07-2025,35,95,15,58,98,3.0,73,90,88,78.1,87,10,76,87,69.3,17,New,31.3,No,45,5,3,0,62,44.5,65
HR25F0768,Jhajjar,Jhajjar-DH,Dighal,01-07-2025,83,71.8,1,44,78,5.5,45,89,73,52.1,92,7,79,76,74.8,17,Telemedicine,58,Yes,55,0,3,0,66,51.6,85
HR25F0769,Jhajjar,Jhajjar-DH,Dhakla,01-07-2025,48.5,88.9,7,86,78,6.4,51,86,82,36.5,99,21,85,86,49.2,16.5,Follow-up,51.3,Yes,10,3,3,3,22,18.5,67.5
HR25F0770,Jhajjar,Jhajjar-DH,Jamalpur,01-07-2025,65,42.4,3,100,89,5.1,88,90,90,87.2,96,7,98,95,74.8,18,New,67.3,No,22,5,0,4,53,15,45
HR25F0771,Jhajjar,Jhajjar-DH,Dubaldhan,01-07-2025,41,70.6,15,92.4,96,4.3,58,97,73,92.4,95,13,96,84,54.7,10,New,56.7,Yes,56,2,1,1,10,65.8,73.8
HR25F0772,Jhajjar,Jhajjar-DH,Badli,01-07-2025,39.5,58.3,5,32.5,94,7.0,59,82,75,33.9,95,23,82,79,89.5,14,Follow-up,74,No,56,4,2,2,43,69.4,90
HR25F0773,Jhajjar,Jhajjar-DH,Charra,01-07-2025,86,48.6,13,77.1,82,5.7,30,96,92,40.4,90,11,88,81,58.3,12.5,Telemedicine,36.7,No,26,1,1,0,32,72.9,63.8
HR25F0774,Jind,Jind-DH,Jullana,01-07-2025,71,47.3,4,86,95,5.1,36,100,73,57.3,93,26,89,66,87.7,18,Online,35.3,Yes,37,1,2,1,35,25.6,60
HR25F0775,Jind,Jind-DH,Kalwa,01-07-2025,60.5,43.7,4,100,88,5.9,41,89,86,44.3,86,26,76,65,63.8,14.5,Follow-up,63.3,Yes,50,4,1,0,24,52.8,61.3
HR25F0776,Jind,Jind-DH,Kharakramji,01-07-2025,72.5,44.9,1,31.3,86,9.5,35,97,100,88.5,92,26,94,69,62,20,New,59.3,Yes,45,2,2,0,83,19.7,61.3
HR25F0777,Jind,Jind-DH,Ujhana,01-07-2025,69.5,87.7,5,93.6,97,7.4,45,98,79,54.7,95,12,76,84,71.2,20,New,78,No,37,4,2,3,16,68.2,65
HR25F0778,Jind,Jind-DH,Kandela,01-07-2025,90.5,73,5,64.4,84,7.4,53,94,88,36.5,92,28,82,84,45.5,11.5,Follow-up,64.7,Yes,39,4,3,1,82,55.2,66.3
HR25F0779,Jind,Jind-DH,Muana,01-07-2025,38,88.9,14,65.6,84,6.4,85,99,83,54.7,93,8,91,93,93.2,14.5,Online,71.3,No,26,1,0,2,37,51.6,68.8
HR25F0780,Jind,Jind-DH,Alewa,01-07-2025,69.5,91.3,12,100,95,6.0,67,84,81,50.8,93,23,82,84,51,12.5,Online,62,Yes,44,1,1,2,49,15,87.5
HR25F0781,Kaithal,Kaithal-DH,Kaul,01-07-2025,36.5,57.1,7,91.1,75,3.0,82,91,77,62.5,93,26,76,80,71.2,11,New,46,No,19,4,1,4,75,54,80
HR25F0782,Kaithal,Kaithal-DH,Siwan,01-07-2025,42.5,44.9,11,50.4,85,4.8,48,81,94,32.6,86,26,78,74,84,18,New,36.7,Yes,12,2,0,4,23,22.1,65
HR25F0783,Kaithal,Kaithal-DH,Rajaund,01-07-2025,87.5,53.4,10,83.5,85,5.1,81,98,81,61.2,90,11,95,82,51,14,New,76.7,Yes,58,3,2,4,19,48.1,88.8
HR25F0784,Kaithal,Kaithal-DH,Pundri,01-07-2025,47,92.6,8,36.4,94,3.2,34,88,98,41.7,95,14,99,88,93.2,16.5,Telemedicine,67.3,Yes,33,0,1,1,24,50.5,87.5
HR25F0785,Karnal,Kalpana Chawala Medical College,Taraori,01-07-2025,62,52.2,14,58,72,4.2,81,97,74,37.8,95,24,95,79,41.8,19.5,Follow-up,83.3,Yes,18,5,1,2,83,29.2,71.3
HR25F0786,Karnal,Kalpana Chawala Medical College,Gharunda,01-07-2025,92,59.6,13,97.5,99,3.0,83,91,71,61.2,97,5,92,91,51,17,New,43.3,No,56,0,1,4,40,80,47.5
HR25F0787,Karnal,Kalpana Chawala Medical College,Nissing,01-07-2025,48.5,59.6,2,35.1,72,5.7,59,84,77,37.8,99,27,84,61,60.2,16.5,New,67.3,Yes,12,5,1,1,68,69.4,46.3
HR25F0788,Karnal,Kalpana Chawala Medical College,Kunjpura,01-07-2025,60.5,42.4,1,80.9,79,6.9,83,93,77,78.1,98,12,79,63,54.7,19.5,New,56.7,No,27,4,3,1,66,63.5,75
HR25F0789,Karnal,Kalpana Chawala Medical College,Ballah,01-07-2025,44,82.8,2,75.8,90,7.3,42,89,70,56,99,21,100,60,73,13,Follow-up,34,Yes,50,4,0,0,46,77.6,87.5
HR25F0790,Karnal,Kalpana Chawala Medical College,Nigdu,01-07-2025,38,73,6,52.9,100,6.4,66,84,72,85.9,92,27,94,72,47.3,11.5,Online,64.7,Yes,31,0,1,1,88,29.2,53.8
HR25F0791,Karnal,Kalpana Chawala Medical College,Sambhli,01-07-2025,42.5,81.6,12,36.4,74,4.5,63,86,72,69,96,12,100,80,54.7,10,Telemedicine,60.7,Yes,12,5,1,4,54,59.9,42.5
HR25F0792,Karnal,Kalpana Chawala Medical College,Padha,01-07-2025,39.5,60.8,11,87.3,76,3.1,85,96,90,54.7,98,17,88,88,41.8,19.5,Follow-up,74,No,45,1,1,0,58,57.5,65
HR25F0793,Kurukshetra,Kurukshetra-DH,Pehowa,01-07-2025,51.5,73,10,50.4,81,3.4,57,80,93,46.9,93,19,100,92,69.3,16.5,New,46,Yes,29,2,3,0,54,70.5,66.3
HR25F0794,Kurukshetra,Kurukshetra-DH,Ladwa,01-07-2025,80,65.7,14,75.8,88,4.1,34,93,88,88.5,100,20,94,63,40,17.5,Follow-up,44.7,No,38,3,0,1,78,46.9,50
HR25F0795,Kurukshetra,Kurukshetra-DH,Mathana,01-07-2025,54.5,75.4,1,35.1,85,4.5,57,88,90,84.6,89,16,76,84,89.5,10.5,Online,76.7,Yes,15,1,0,4,18,76.5,40
HR25F0796,Kurukshetra,Kurukshetra-DH,Jhansa,01-07-2025,68,74.2,8,77.1,76,5.6,86,86,75,91.1,86,18,77,84,47.3,10,New,51.3,Yes,31,3,1,4,82,35.1,82.5
HR25F0797,Kurukshetra,Kurukshetra-DH,Barana,01-07-2025,39.5,92.6,13,66.9,86,4.4,86,100,99,84.6,97,15,78,61,82.2,19.5,Online,76.7,No,22,2,2,3,12,31.5,57.5
HR25F0798,Kurukshetra,Kurukshetra-DH,Babain,01-07-2025,77,65.7,5,47.8,84,6.3,74,86,94,75.5,91,7,86,65,87.7,15,Online,76.7,No,42,2,2,0,16,62.3,46.3
HR25F0799,Mahendragarh,Mahendragarh-DH,Ateli,01-07-2025,68,77.9,3,70.7,86,5.5,85,96,92,71.6,99,5,99,85,54.7,11.5,Follow-up,44.7,Yes,60,3,0,1,16,38.6,43.8
HR25F0800,Mahendragarh,Mahendragarh-DH,Nangal‑sirohi,01-07-2025,45.5,92.6,8,75.8,70,5.8,73,92,77,33.9,89,10,93,63,82.2,18,Follow-up,56.7,Yes,15,5,0,4,50,22.1,83.8
HR25F0801,Mahendragarh,Mahendragarh-DH,Nangal‑chaudhry,01-07-2025,77,53.4,4,78.4,77,7.4,48,84,97,56,96,13,93,64,47.3,10.5,Online,86,No,17,5,2,4,67,70.5,65
HR25F0802,Mahendragarh,Mahendragarh-DH,Satnali,01-07-2025,68,62,1,55.5,73,4.1,31,95,72,78.1,100,15,88,89,74.8,19,Follow-up,38,No,59,0,0,3,57,67,65
HR25F0803,Mahendragarh,Mahendragarh-DH,Sehlang,01-07-2025,84.5,71.8,1,72,98,6.4,80,80,98,40.4,92,22,95,77,84,16,New,78,No,60,2,0,0,64,25.6,57.5
HR25F0804,Mahendragarh,Mahendragarh-DH,Dochana,01-07-2025,66.5,49.8,9,87.3,100,5.8,76,92,73,30,86,14,76,89,56.5,12,New,72.7,Yes,13,3,2,4,52,29.2,48.8
HR25F0805,Mewat,SHKM‑Medical College,Ferozepur Zhirka,01-07-2025,51.5,74.2,12,51.6,87,5.3,38,97,84,91.1,88,22,87,87,71.2,19,New,76.7,Yes,42,4,1,4,27,63.5,82.5
HR25F0806,Mewat,SHKM‑Medical College,Punhana,01-07-2025,59,80.3,15,30,94,7.1,60,86,77,78.1,89,6,98,67,95,12,Online,82,No,19,0,3,2,42,44.5,70
HR25F0807,Mewat,SHKM‑Medical College,Tauru,01-07-2025,77,66.9,9,32.5,74,7.1,83,90,86,53.4,95,20,94,94,74.8,13,Follow-up,50,No,45,4,3,0,44,49.3,47.5
HR25F0808,Palwal,Palwal-DH,Aurangabad,01-07-2025,95,59.6,10,46.5,96,4.5,56,91,90,66.4,93,19,95,72,89.5,17.5,Follow-up,46,No,49,4,1,4,50,63.5,65
HR25F0809,Palwal,Palwal-DH,Hathin,01-07-2025,38,69.3,15,70.7,90,5.5,54,88,93,82,93,17,96,73,71.2,18,Online,40.7,Yes,37,1,2,3,48,42.2,56.3
HR25F0810,Palwal,Palwal-DH,Sondhad,01-07-2025,36.5,90.1,13,36.4,95,6.2,55,87,72,50.8,85,25,82,92,54.7,11.5,New,76.7,No,33,3,2,3,37,77.6,73.8
HR25F0811,Palwal,Palwal-DH,Alawalpur,01-07-2025,65,54.7,5,36.4,91,5.5,62,88,72,69,96,24,87,73,78.5,14,Online,54,No,40,3,1,3,73,68.2,46.3
HR25F0812,Palwal,Palwal-DH,Dudhola,01-07-2025,77,81.6,7,94.9,97,6.6,42,91,80,66.4,94,18,77,68,76.7,18,Follow-up,74,No,28,0,3,1,15,28,62.5
HR25F0813,Panchkula,Panchkula-DH,Raipurrani,01-07-2025,50,44.9,9,97.5,100,6.2,57,85,91,39.1,87,20,93,70,40,15,New,31.3,No,20,3,0,2,87,25.6,90
HR25F0814,Panchkula,Panchkula-DH,Nanakpur,01-07-2025,39.5,51,2,47.8,74,8.4,56,90,78,50.8,85,27,86,92,74.8,13.5,New,84.7,No,35,3,0,1,21,42.2,50
HR25F0815,Panchkula,Panchkula-DH,Morni,01-07-2025,45.5,52.2,7,37.6,79,3.6,40,96,70,92.4,98,6,83,73,54.7,13.5,Telemedicine,36.7,Yes,38,3,1,2,40,31.5,70
HR25F0816,Panipat,Panipat-DH,Ahar,01-07-2025,38,57.1,5,72,95,5.7,68,95,77,30,100,14,86,84,71.2,12,Online,75.3,Yes,18,0,2,3,75,58.7,61.3
HR25F0817,Panipat,Panipat-DH,Dadlana,01-07-2025,65,41.2,1,75.8,73,4.5,68,87,87,61.2,94,12,91,77,91.3,16.5,New,38,No,42,1,2,3,75,19.7,73.8
HR25F0818,Panipat,Panipat-DH,Bapoli,01-07-2025,72.5,46.1,1,93.6,99,6.6,41,81,86,33.9,97,11,92,71,62,12,Telemedicine,51.3,Yes,20,3,1,3,73,70.5,57.5
HR25F0819,Panipat,Panipat-DH,Mathloda,01-07-2025,42.5,76.7,12,51.6,73,3.6,77,100,77,95,87,19,98,90,76.7,13,Online,78,No,25,0,3,0,82,49.3,76.3
HR25F0820,Panipat,Panipat-DH,Naultha,01-07-2025,39.5,75.4,2,68.2,76,6.3,68,85,75,37.8,100,10,96,85,45.5,10.5,New,58,No,57,2,1,0,47,42.2,58.8
HR25F0821,Panipat,Panipat-DH,Naraina,01-07-2025,75.5,68.1,3,65.6,76,4.9,44,85,78,95,99,21,98,70,45.5,10,New,64.7,No,59,5,0,4,62,80,71.3
HR25F0822,Panipat,Panipat-DH,Khotpura,01-07-2025,75.5,63.2,4,70.7,93,4.8,54,86,72,66.4,99,6,78,86,58.3,11.5,New,42,No,41,3,0,3,72,23.3,78.8
HR25F0823,Rewari,Rewari-DH,Gurawara,01-07-2025,90.5,41.2,4,86,81,3.8,58,88,72,66.4,87,26,78,92,82.2,15.5,Follow-up,87.3,Yes,31,0,1,1,81,16.2,45
HR25F0824,Rewari,Rewari-DH,Bawal,01-07-2025,90.5,75.4,7,51.6,74,5.2,87,96,100,31.3,98,16,77,64,52.8,15.5,Follow-up,76.7,No,59,2,0,2,71,46.9,50
HR25F0825,Rewari,Rewari-DH,Nahar,01-07-2025,56,59.6,14,47.8,88,7.3,40,88,79,44.3,87,10,89,95,91.3,16,New,32.7,No,56,0,2,1,60,67,86.3
HR25F0826,Rewari,Rewari-DH,Mirpur,01-07-2025,78.5,49.8,10,72,79,5.7,87,85,76,56,86,15,96,86,49.2,19,Follow-up,59.3,No,17,0,1,4,32,69.4,90
HR25F0827,Rewari,Rewari-DH,Khol,01-07-2025,54.5,57.1,5,59.3,77,6.7,78,96,81,92.4,97,19,83,84,67.5,10.5,New,75.3,Yes,42,1,3,1,20,30.4,42.5
HR25F0828,Rohtak,Rohtak-DH,Kahanaur,01-07-2025,45.5,82.8,12,77.1,87,8.1,52,95,97,95,93,7,75,64,89.5,19.5,New,86,No,53,0,3,1,54,48.1,50
HR25F0829,Rohtak,Rohtak-DH,Sampla Kiloi,01-07-2025,87.5,84,3,92.4,87,6.2,44,88,85,69,94,6,97,61,52.8,14,Follow-up,50,No,48,5,2,2,54,28,66.3
HR25F0830,Rohtak,Rohtak-DH,Chiri,01-07-2025,42.5,41.2,1,61.8,99,5.0,57,89,96,41.7,86,6,76,77,84,19,New,70,No,26,2,1,3,90,62.3,53.8
HR25F0831,Rohtak,Rohtak-DH,Madina,01-07-2025,45.5,95,3,91.1,87,6.4,79,91,78,49.5,100,14,87,85,80.3,12.5,Follow-up,36.7,No,33,5,3,0,81,18.5,90
HR25F0832,Rohtak,Rohtak-DH,Lakhan Majra,01-07-2025,77,58.3,5,33.8,83,5.0,56,80,77,52.1,93,13,82,92,85.8,18.5,Telemedicine,86,No,23,4,2,3,33,69.4,85
HR25F0833,Sirsa,Sirsa-DH,Rania,01-07-2025,44,55.9,3,68.2,99,5.1,32,96,88,79.4,90,28,100,93,82.2,11,New,38,No,26,0,1,4,65,64.6,42.5
HR25F0834,Sirsa,Sirsa-DH,Odhan,01-07-2025,81.5,64.4,12,66.9,87,3.7,76,92,81,95,100,30,77,89,40,16.5,New,68.7,Yes,53,4,0,1,24,26.8,83.8
HR25F0835,Sirsa,Sirsa-DH,Bara‑Gudda,01-07-2025,78.5,71.8,11,40.2,81,7.1,45,94,80,40.4,97,30,88,73,40,17,New,47.3,No,16,5,1,0,23,31.5,78.8
HR25F0836,Sirsa,Sirsa-DH,Kalanwali,01-07-2025,68,84,10,32.5,99,5.2,37,82,78,35.2,96,15,81,77,76.7,18,Follow-up,90,No,14,3,3,0,43,42.2,88.8
HR25F0837,Sirsa,Sirsa-DH,Nathusari‑Chopta,01-07-2025,95,84,4,78.4,76,6.1,57,86,76,37.8,96,15,91,74,49.2,15.5,Online,80.7,Yes,31,1,0,0,18,50.5,46.3
HR25F0838,Sirsa,Sirsa-DH,Madhosinghana,01-07-2025,90.5,41.2,7,33.8,71,4.3,65,83,82,49.5,91,14,76,95,60.2,13.5,Follow-up,38,No,43,5,1,1,59,38.6,80
HR25F0839,Sirsa,Sirsa-DH,Chautala,01-07-2025,38,43.7,14,73.3,92,6.4,71,91,91,80.7,88,11,87,79,78.5,11,Follow-up,82,No,44,0,2,3,15,76.5,77.5
HR25F0840,Sonipat,Sonipat-DH,Kharkhauda,01-07-2025,78.5,92.6,11,78.4,95,4.8,52,84,94,30,89,9,81,68,85.8,11,New,67.3,Yes,55,0,1,0,30,23.3,75
HR25F0841,Sonipat,Sonipat-DH,Badkhalsa,01-07-2025,47,85.2,6,91.1,80,5.6,51,93,73,74.2,85,23,86,64,85.8,17,New,70,Yes,16,5,2,3,19,71.7,81.3
HR25F0842,Sonipat,Sonipat-DH,Ganaur,01-07-2025,77,69.3,3,75.8,80,7.1,36,100,81,59.9,91,30,90,75,51,18,New,74,No,43,1,2,3,53,58.7,62.5
HR25F0843,Sonipat,Sonipat-DH,Juan,01-07-2025,80,88.9,0,86,90,6.9,36,81,91,85.9,97,9,75,88,95,15,Follow-up,34,Yes,10,0,1,2,29,55.2,43.8
HR25F0844,Sonipat,Sonipat-DH,Mundlana,01-07-2025,59,74.2,15,100,99,5.8,77,83,91,61.2,98,29,82,92,49.2,15.5,New,39.3,Yes,32,1,0,0,48,50.5,65
HR25F0845,Sonipat,Sonipat-DH,Firozepur‑bangar,01-07-2025,35,60.8,2,61.8,88,3.4,71,82,92,89.8,92,8,83,94,49.2,18,Online,64.7,No,15,2,3,2,17,54,62.5
